****************************************
* Copied from https://code.qt.io/cgit/ *
****************************************

Name	Description	Owner	Idle	Links
{non-gerrit}/qt-labs/qml-gesturearea.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qml-gestures-examples.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qml-object-model.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qml-toucharea.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qml1-shadersplugin.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qmlcanvas.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qmlogre.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qt-autotester.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qt-compositor.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qt5-launch-demo.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qtcollator.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qtestlib-tools.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qtjambi-awtbridge.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qtmodularization.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qtscript-browser-env.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qtscript-remote-debugging.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qtspotify.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/qtuitest.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/remotecontrolwidget.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/scene-graph-demo.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/scene-graph.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/scxml.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
